fecha,precio_fob_usd_kg,region,provincia,rendimiento_kg_ha,porcentaje_vendido,tipo_conduccion_cultivo,margen_exportador_soles_kg
2023-03-01,1.901566289163099,HUANCAVELICA,CASTROVIRREYNA,5333.333333333333,1.0,Homogeneo,6.4225402510282885
2023-01-01,1.6627289377289378,HUANCAVELICA,CASTROVIRREYNA,11560.693641618498,1.0,Homogeneo,5.885233516483517
2023-04-01,1.6730530153273977,HUANCAVELICA,CASTROVIRREYNA,9071.274298056156,1.0,Homogeneo,5.190615474144408
2023-04-01,1.6730530153273977,HUANCAVELICA,CASTROVIRREYNA,14905.149051490514,1.0,Homogeneo,5.673948807477742
2023-04-01,1.6730530153273977,HUANCAVELICA,CASTROVIRREYNA,6875.0,1.0,Homogeneo,5.55013062565956
2023-05-01,1.3097205876184328,HUANCAVELICA,CASTROVIRREYNA,3680.0,1.0,Homogeneo,3.4712348122647754
2023-02-01,1.8145020741957376,HUANCAVELICA,CHURCAMPA,1500.0,0.88,Asociado,6.73771611156735
2023-04-01,1.6730530153273977,HUANCAVELICA,CHURCAMPA,1833.3333333333335,0.8727272727272727,Asociado,6.246676080205014
2023-03-01,1.901566289163099,HUANCAVELICA,CHURCAMPA,7480.62015503876,1.0,Homogeneo,7.014811408195818
2023-05-01,1.3097205876184328,HUANCAVELICA,CHURCAMPA,8250.0,1.0,Homogeneo,4.40842190053882
2023-02-01,1.8145020741957376,HUANCAVELICA,CHURCAMPA,4600.0,0.9130434782608695,Asociado,6.760904517364451
2023-05-01,1.3097205876184328,HUANCAVELICA,HUAYTARA,3466.6666666666665,0.9615384615384616,Homogeneo,4.826836818953739
2023-04-01,1.6730530153273977,HUANCAVELICA,HUAYTARA,2815.3846153846152,0.9276502732240437,Homogeneo,5.317664654472277
2023-06-01,1.4269870938975657,HUANCAVELICA,HUAYTARA,8000.0,0.9791666666666666,Homogeneo,5.299118268782538
2023-05-01,1.3097205876184328,HUANCAVELICA,HUAYTARA,2500.0,0.9375,Homogeneo,3.071452203569123
2023-03-01,1.901566289163099,HUANCAVELICA,TAYACAJA,5800.0,0.9310344827586207,Homogeneo,6.786045998154725
2023-03-01,1.901566289163099,HUANCAVELICA,TAYACAJA,10369.487485101312,1.0,Homogeneo,6.4883448487294375
2023-01-01,1.6627289377289378,HUANCAVELICA,TAYACAJA,5138.74614594039,0.96,Homogeneo,5.96856684981685
2023-02-01,1.8145020741957376,HUANCAVELICA,TAYACAJA,4500.0,0.9444444444444444,Homogeneo,6.382160556011794
2023-12-01,2.1700770230141053,HUANUCO,PACHITEA,4000.0,0.83375,Homogeneo,7.700288836302896
2023-02-01,1.8145020741957376,HUANUCO,PACHITEA,6766.666666666667,0.9852216748768473,Homogeneo,5.9891118422734255
2023-02-01,1.8145020741957376,HUANUCO,PACHITEA,16200.0,0.9876543209876543,Homogeneo,6.622284012801917
2023-05-01,1.3097205876184328,ICA,CHINCHA,8571.42857142857,1.0,Homogeneo,4.444785536902456
2023-07-01,1.482684824796564,ICA,CHINCHA,12105.263157894737,1.0,Homogeneo,4.820937658204507
2023-07-01,1.482684824796564,ICA,CHINCHA,10157.367668097282,0.9859154929577465,Vergel,5.2840117549589465
2023-07-01,1.482684824796564,ICA,CHINCHA,5384.615384615385,0.8571428571428571,Asociado,4.602925235844258
2023-06-01,1.4269870938975657,ICA,CHINCHA,9000.0,1.0,Homogeneo,4.628979379893649
2023-03-01,1.901566289163099,ICA,CHINCHA,6500.0,1.0,Homogeneo,6.188565892053929
2023-03-01,1.901566289163099,ICA,CHINCHA,1090.909090909091,0.95,Homogeneo,3.1586513621393992
2023-03-01,1.901566289163099,ICA,CHINCHA,8000.0,0.96875,Homogeneo,5.821498584361621
2023-04-01,1.6730530153273977,ICA,CHINCHA,9333.333333333334,1.0,Homogeneo,5.05252023604917
2023-05-01,1.3097205876184328,ICA,NASCA,9400.0,0.9840425531914894,Homogeneo,4.145494756760613
2023-04-01,1.6730530153273977,ICA,NASCA,10434.782608695654,0.96875,Homogeneo,5.4822821408110745
2023-03-01,1.901566289163099,ICA,PISCO,9333.333333333334,1.0,Homogeneo,6.452302155790193
2023-04-01,1.6730530153273977,ICA,PISCO,11750.0,1.0,Homogeneo,5.273948807477741
